closedate;değer
1.01.2017;3
1.02.2017;31
1.03.2017;144
1.04.2017;158
1.05.2017;13
1.06.2017;21
1.07.2017;8
1.08.2017;9
1.09.2017;8
1.10.2017;5
1.11.2017;8
1.12.2017;63
1.01.2018;39
1.02.2018;17
1.03.2018;20
1.04.2018;265
1.05.2018;24
1.06.2018;11
1.07.2018;55
1.08.2018;9
1.09.2018;8
1.10.2018;14
1.11.2018;21
1.12.2018;35
1.01.2019;27
1.02.2019;32
1.03.2019;74
1.04.2019;144
1.05.2019;68
1.06.2019;48
1.07.2019;43
1.08.2019;72
1.11.2019;1
1.06.2020;32
1.07.2020;1
1.08.2020;28
1.10.2020;56
1.11.2020;69
1.12.2020;184
1.01.2021;63
1.02.2021;30
1.03.2021;212
1.04.2021;293
1.05.2021;377
1.06.2021;44
1.07.2021;99
1.08.2021;436
1.09.2021;407
1.10.2021;38
1.11.2021;176
1.12.2021;125
1.01.2022;41
1.02.2022;65
1.03.2022;238
1.04.2022;539
1.05.2022;93
1.06.2022;95
1.07.2022;157
1.08.2022;520
1.09.2022;628
1.10.2022;225
1.11.2022;44
1.12.2022;467
1.01.2023;132
1.02.2023;92
1.03.2023;329
1.04.2023;273
1.05.2023;138
1.06.2023;62
1.07.2023;298
1.08.2023;807
1.09.2023;647
1.10.2023;419
1.11.2023;317
1.12.2023;448
1.01.2024;61
1.02.2024;135
1.03.2024;247
1.04.2024;334
1.05.2024;315
1.06.2024;66
1.07.2024;280
1.08.2024;351
1.09.2024;618
1.10.2024;244
1.11.2024;164
1.12.2024;426
1.01.2025;128
1.02.2025;87
1.03.2025;137
1.04.2025;21
1.05.2025;11
1.06.2025;10
1.07.2025;123
1.08.2025;10
1.09.2025;11
1.10.2025;10
1.11.2025;16
1.12.2025;10
1.01.2026;3
1.02.2026;3
1.03.2026;2